datetime,open,high,low,close
2026-07-22 20:40:00,1.14058,1.14058,1.14048,1.14051
2026-07-22 20:39:00,1.14056,1.14059,1.14055,1.14059
2026-07-22 20:38:00,1.1405,1.14062,1.1405,1.1406
2026-07-22 20:37:00,1.1405,1.14058,1.1405,1.14056
2026-07-22 20:36:00,1.1406,1.1406,1.14046,1.14047
2026-07-22 20:35:00,1.14054,1.14066,1.14047,1.14064
2026-07-22 20:34:00,1.1405,1.14062,1.1405,1.14059
2026-07-22 20:33:00,1.14052,1.14053,1.1405,1.14052
2026-07-22 20:32:00,1.14053,1.14053,1.14045,1.14047
2026-07-22 20:31:00,1.14059,1.14059,1.14051,1.14052
2026-07-22 20:30:00,1.14061,1.14061,1.14051,1.14054
2026-07-22 20:29:00,1.14061,1.14062,1.14056,1.14061
2026-07-22 20:28:00,1.14062,1.14063,1.1406,1.14063
2026-07-22 20:27:00,1.1407,1.1407,1.14059,1.1406
2026-07-22 20:26:00,1.14071,1.14077,1.14059,1.14075
2026-07-22 20:25:00,1.14064,1.14075,1.14064,1.14074
2026-07-22 20:24:00,1.14066,1.14071,1.14064,1.1407
2026-07-22 20:23:00,1.14064,1.14069,1.14062,1.14068
2026-07-22 20:22:00,1.14062,1.14067,1.1406,1.14067
2026-07-22 20:21:00,1.14054,1.14067,1.14054,1.14066
2026-07-22 20:20:00,1.14042,1.14065,1.14042,1.14061
2026-07-22 20:19:00,1.14038,1.14054,1.14038,1.14051
2026-07-22 20:18:00,1.1403,1.14048,1.1403,1.14044
2026-07-22 20:17:00,1.14032,1.14036,1.1403,1.14035
2026-07-22 20:16:00,1.1404,1.1404,1.14024,1.14026
2026-07-22 20:15:00,1.14034,1.14046,1.14031,1.14044
2026-07-22 20:14:00,1.1403,1.14043,1.14027,1.14039
2026-07-22 20:13:00,1.14023,1.14034,1.14023,1.14033
2026-07-22 20:12:00,1.1402,1.14033,1.14019,1.14029
2026-07-22 20:11:00,1.1402,1.14024,1.1402,1.14023
2026-07-22 20:10:00,1.14029,1.14029,1.14016,1.14018
2026-07-22 20:09:00,1.14028,1.1403,1.14019,1.1403
2026-07-22 20:08:00,1.14022,1.14033,1.14022,1.14032
2026-07-22 20:07:00,1.14017,1.14033,1.14012,1.14028
2026-07-22 20:06:00,1.14024,1.14024,1.14013,1.14015
2026-07-22 20:05:00,1.14045,1.14045,1.14011,1.14016
2026-07-22 20:04:00,1.14055,1.14056,1.14025,1.14032
2026-07-22 20:03:00,1.14052,1.14059,1.14045,1.14058
2026-07-22 20:02:00,1.14052,1.14058,1.14052,1.14057
2026-07-22 20:01:00,1.14049,1.14055,1.14049,1.14054
2026-07-22 20:00:00,1.14052,1.14055,1.14048,1.14049
2026-07-22 19:59:00,1.14056,1.14056,1.14046,1.14048
2026-07-22 19:58:00,1.14061,1.14061,1.1405,1.14052
2026-07-22 19:57:00,1.14064,1.14065,1.14055,1.14058
2026-07-22 19:56:00,1.14056,1.14069,1.14055,1.14068
2026-07-22 19:55:00,1.14055,1.14065,1.14055,1.14063
2026-07-22 19:54:00,1.14055,1.14062,1.14052,1.14053
2026-07-22 19:53:00,1.14059,1.14059,1.14054,1.14055
2026-07-22 19:52:00,1.14068,1.14068,1.14055,1.14057
2026-07-22 19:51:00,1.14078,1.14078,1.14062,1.14064
2026-07-22 19:50:00,1.14088,1.14088,1.14068,1.14072
2026-07-22 19:49:00,1.1409,1.1409,1.14075,1.1408
2026-07-22 19:48:00,1.1409,1.14092,1.14088,1.14092
2026-07-22 19:47:00,1.14092,1.14095,1.14086,1.14087
2026-07-22 19:46:00,1.14092,1.14094,1.14088,1.14094
2026-07-22 19:45:00,1.14094,1.14097,1.14089,1.1409
2026-07-22 19:44:00,1.14093,1.14096,1.14089,1.14096
2026-07-22 19:43:00,1.14102,1.14102,1.14089,1.1409
2026-07-22 19:42:00,1.14117,1.14117,1.14089,1.14094
2026-07-22 19:41:00,1.1412,1.1412,1.14099,1.14106
2026-07-22 19:40:00,1.14123,1.14123,1.14111,1.14115
2026-07-22 19:39:00,1.14123,1.14125,1.14115,1.14125
2026-07-22 19:38:00,1.14127,1.14127,1.14119,1.1412
2026-07-22 19:37:00,1.1413,1.14131,1.14117,1.14121
2026-07-22 19:36:00,1.14125,1.14133,1.14119,1.14132
2026-07-22 19:35:00,1.14114,1.1413,1.14114,1.14129
2026-07-22 19:34:00,1.14095,1.14131,1.14095,1.14124
2026-07-22 19:33:00,1.14092,1.1411,1.14092,1.14106
2026-07-22 19:32:00,1.14093,1.14101,1.14089,1.1409
2026-07-22 19:31:00,1.14093,1.14095,1.14089,1.14095
2026-07-22 19:30:00,1.14093,1.14094,1.1409,1.14094
2026-07-22 19:29:00,1.1409,1.14096,1.1409,1.14095
2026-07-22 19:28:00,1.14092,1.14094,1.14089,1.14092
2026-07-22 19:27:00,1.14095,1.14095,1.14089,1.1409
2026-07-22 19:26:00,1.1409,1.14097,1.1409,1.14097
2026-07-22 19:25:00,1.14084,1.141,1.14083,1.14096
2026-07-22 19:24:00,1.14089,1.14089,1.14082,1.14084
2026-07-22 19:23:00,1.14099,1.14099,1.14081,1.14084
2026-07-22 19:22:00,1.14098,1.14102,1.14085,1.14101
2026-07-22 19:21:00,1.14097,1.141,1.14097,1.14099
2026-07-22 19:20:00,1.14093,1.141,1.14093,1.14099
2026-07-22 19:19:00,1.14091,1.14097,1.14091,1.14096
2026-07-22 19:18:00,1.14093,1.14098,1.14089,1.1409
2026-07-22 19:17:00,1.14096,1.14096,1.14086,1.14089
2026-07-22 19:16:00,1.14101,1.14101,1.14088,1.14091
2026-07-22 19:15:00,1.14094,1.14104,1.14094,1.14104
2026-07-22 19:14:00,1.14101,1.14105,1.14086,1.14088
2026-07-22 19:13:00,1.14113,1.14113,1.14091,1.14095
2026-07-22 19:12:00,1.1412,1.1412,1.14102,1.14107
2026-07-22 19:11:00,1.14119,1.14121,1.14111,1.14121
2026-07-22 19:10:00,1.14121,1.14121,1.14112,1.14115
2026-07-22 19:09:00,1.14112,1.14124,1.14112,1.14123
2026-07-22 19:08:00,1.14112,1.1412,1.14112,1.14118
2026-07-22 19:07:00,1.14113,1.14117,1.14108,1.14109
2026-07-22 19:06:00,1.14113,1.14115,1.14106,1.14115
2026-07-22 19:05:00,1.14113,1.14118,1.14108,1.14109
2026-07-22 19:04:00,1.14113,1.14115,1.14108,1.14115
2026-07-22 19:03:00,1.14116,1.14117,1.14112,1.14112
2026-07-22 19:02:00,1.14105,1.14121,1.14105,1.1412
2026-07-22 19:01:00,1.14102,1.14118,1.14101,1.14113
